[individuals]					
166					
[landmarks]					
37					
[dimensions]					
3					
[names]					
M006					
M009					
M011					
M016					
M017					
M018					
M019					
M020					
M021					
M023					
M024					
M025					
M026					
M027					
M028					
M029					
M030					
M032					
M035					
M036					
M037					
M038					
M039					
M040					
M041					
M042					
M044					
M045					
M047					
M048					
M049					
M050					
M052					
M053					
M054					
M055					
M056					
M057					
M058					
M059					
M060					
M061					
M062					
M064					
M067					
M068					
M069					
M070					
M071					
M073					
M074					
M075					
M076					
M077					
M078					
M080					
M083					
M084					
M085					
M092					
M093					
M094					
M100					
M102					
M103					
M107					
M108					
M110					
M111					
M113					
M115					
M116					
M117					
M121					
M123					
M124					
M130					
M132					
M136					
M140					
M141					
M145					
M148					
M152					
M156					
M158					
M159					
M162					
M163					
M166					
M167					
M169					
M170					
M171					
M173					
M174					
M176					
M177					
M178					
M179					
M183					
M184					
M189					
M190					
M192					
M197					
M198					
M205					
M206					
M209					
M211					
M215					
M220					
M222					
M224					
Q001					
Q002					
Q003					
Q004					
Q005					
Q006					
Q007					
Q008					
Q009					
Q010					
Q011					
Q012					
Q015					
Q016					
Q017					
Q018					
Q021					
Q022					
Q024					
Q025					
Q026					
Q030					
Q031					
Q036					
Q038					
Q039					
Q040					
Q041					
Q046					
Q047					
Q048					
Q050					
Q051					
Q052					
Q053					
Q055					
Q057					
Q060					
Q061					
Q062					
Q063					
Q064					
Q065					
Q066					
Q067					
Q069					
Q070					
Q071					
Q072					
Q073					
Q074					
[labels]					
Sex	Weight	Hfoot	Mindex	Age	Pop
[labelvalues]					
F	11	252	1.6	1.737429277	M
M	7.5	237	1.1	1.149230479	M
F	10	245	1.75	1.966786124	M
F	27.5	305	4.3	16.1885196	M
F	19	288	2.55	3.810282144	M
F	22.5	301	3	5.527224892	M
M	28	329	2.7	4.313274874	M
F	18	280	3.2	6.520893924	M
F	18	273	2.6	3.971066278	M
F	21	274	3.1	6.003536226	M
F	20.5	285	2.8	4.684973466	M
F	10	248	1.6	1.737429277	M
F	20.5	278	2.5	3.656007985	M
F	25	290	3.7	9.858415891	M
F	23	290	3.2	6.520893924	M
F	17	274	2.65	4.138635089	M
M	14	255	1.7	1.887153103	M
M	38	348	2.9	5.088703367	M
F	22.5	290	3.05	5.760459606	M
M	23.5	310	3.45	8.017835387	M
F	21	294	3.8	10.70796975	M
F	19	290	2.6	3.971066278	M
F	17.5	292	2.95	5.303433597	M
F	15	267	2.45	3.507980217	M
F	22	289	3.2	6.520893924	M
F	20.5	275	2.95	5.303433597	M
F	18.5	268	3.1	6.003536226	M
F	23.5	305	3.95	12.12152148	M
F	17	280	1.9	2.22642021	M
F	22	301	3	5.527224892	M
M	27	320	2.7	4.313274874	M
F	20	294	2.7	4.313274874	M
F	15.5	264	1.45	1.534818889	M
